algorithm,feature_set,training_type,balanced,accuracy,precision,recall,F1,AUC
SVM,TFIDF_description+username+full_name,LOOCV,False,0.7625,0.7514140271493213,0.7625,0.7217585646411603,0.6521739130434782
XGBoost,TFIDF_description,KFold,False,0.75,0.7298436857260386,0.75,0.7071142785696424,0.6057004830917874
SVM,TFIDF_description+username,LOOCV,False,0.74375,0.7198350694444444,0.74375,0.6971841572251407,0.6772946859903382
XGBoost,TFIDF_description+full_name,KFold,False,0.74375,0.7185299295774648,0.74375,0.7022998888271261,0.6045410628019324
RandomForest,TFIDF_description,LOOCV,False,0.7375,0.708273344302756,0.7375,0.6924699924981246,0.508792270531401
XGBoost,TFIDF_description,LOOCV,False,0.7375,0.708273344302756,0.7375,0.6924699924981246,0.3428019323671498
SVM,TFIDF_description+username,KFold,False,0.7375,0.714421903599756,0.7375,0.6747159090909091,0.6477294685990338
LogReg,TFIDF_description+username,LOOCV,False,0.7375,0.7317343604108311,0.7375,0.6601966130884042,0.669951690821256
AdaBoost,TFIDF_description+full_name,LOOCV,False,0.7375,0.7090517241379309,0.7375,0.6870192307692308,0.4877294685990338
RandomForest,TFIDF_description,KFold,False,0.73125,0.697265625,0.73125,0.682412652699538,0.595072463768116
AdaBoost,TFIDF_description,LOOCV,False,0.73125,0.697265625,0.73125,0.682412652699538,0.3196135265700482
SVM,TFIDF_username,KFold,False,0.73125,0.8043908227848101,0.73125,0.6294764632530591,0.5393236714975845
SVM,TFIDF_description+full_name,LOOCV,False,0.73125,0.698268581081081,0.73125,0.670314688813288,0.6129468599033817
XGBoost,TFIDF_description+full_name,LOOCV,False,0.73125,0.697265625,0.73125,0.682412652699538,0.5576811594202898
LogReg,TFIDF_description,LOOCV,False,0.725,0.6868580765639589,0.725,0.6440154994259472,0.4983574879227053
SVM,TFIDF_description,LOOCV,False,0.725,0.6843929879644166,0.725,0.6659318241642538,0.5317874396135266
LogReg,TFIDF_description+username,KFold,False,0.725,0.7093949044585987,0.725,0.6259191176470589,0.6519806763285024
LogReg,TFIDF_description+username+full_name,KFold,False,0.725,0.7093949044585987,0.725,0.6259191176470589,0.6546859903381643
LogReg,TFIDF_description+username+full_name,LOOCV,False,0.725,0.6927419354838709,0.725,0.6353703703703704,0.6585507246376812
LogReg,TFIDF_description,KFold,False,0.71875,0.6633522727272727,0.71875,0.631601246446534,0.6003864734299518
